Provinsi,Februari,Agustus,total_tingkat
ACEH,5.75,6.03,11.780000000000001
SUMATERA UTARA,5.24,5.89,11.129999999999999
SUMATERA BARAT,5.9,5.94,11.84
RIAU,4.25,4.23,8.48
JAMBI,4.5,4.53,9.030000000000001
SUMATERA SELATAN,4.53,4.11,8.64
BENGKULU,3.21,3.42,6.63
LAMPUNG,4.18,4.23,8.41
KEP. BANGKA BELITUNG,3.89,4.56,8.45
KEP. RIAU,7.61,6.8,14.41
DKI JAKARTA,7.57,6.53,14.100000000000001
JAWA BARAT,7.89,7.44,15.33
JAWA TENGAH,5.24,5.13,10.370000000000001
DI YOGYAKARTA,3.58,3.69,7.27
JAWA TIMUR,4.33,4.88,9.21
BANTEN,7.97,7.52,15.489999999999998
BALI,3.73,2.69,6.42
NUSA TENGGARA BARAT,3.73,2.8,6.529999999999999
NUSA TENGGARA TIMUR,3.1,3.14,6.24
KALIMANTAN BARAT,4.52,5.05,9.57
KALIMANTAN TENGAH,3.84,4.1,7.9399999999999995
KALIMANTAN SELATAN,3.95,4.31,8.26
KALIMANTAN TIMUR,6.37,5.31,11.68
KALIMANTAN UTARA,4.1,4.01,8.11
SULAWESI UTARA,6.19,6.1,12.29
SULAWESI TENGAH,3.49,2.95,6.44
SULAWESI SELATAN,5.26,4.33,9.59
SULAWESI TENGGARA,3.66,3.15,6.8100000000000005
GORONTALO,3.07,3.06,6.13
SULAWESI BARAT,3.04,2.27,5.3100000000000005
MALUKU,6.08,6.31,12.39
MALUKU UTARA,4.6,4.31,8.91
PAPUA BARAT,5.53,5.38,10.91
PAPUA BARAT DAYA,0.0,0.0,0.0
PAPUA,3.49,2.67,6.16
PAPUA SELATAN,0.0,0.0,0.0
PAPUA TENGAH,0.0,0.0,0.0
PAPUA PEGUNUNGAN,0.0,0.0,0.0
INDONESIA,5.45,5.32,10.77
